 ID do Estudante; Idade; Gênero; Etnia; Escolaridade dos Pais; Tempo de Estudo Semanal; Faltas; Aulas de Reforço; Apoio dos Pais; Atividades Extracurriculares; Esportes; Música; Voluntariado; Média de Notas;Nota Considerada
1036;15;Feminino;Asiático;Ensino Superior Incompleto;9;15;Sim;Alto;Sim;Não;Sim;Não;4;A
1037;18;Feminino;Asiático;Graduação;14;13;Sim;Muito Alto;Sim;Não;Sim;Sim;3,751129262;A
1038;15;Masculino;Caucasiano;Graduação;16;15;Não;Alto;Não;Sim;Não;Sim;3,666326633;A
1039;15;Feminino;Caucasiano;Ensino Médio;10;23;Não;Muito Alto;Sim;Não;Sim;Sim;3,751951895;A
1040;17;Feminino;Caucasiano;Nenhum;1;16;Não;Muito Alto;Não;Não;Sim;Não;2,74597971;C
1041;17;Feminino;Caucasiano;Nenhum;20;19;Não;Alto;Sim;Não;Sim;Não;3,688037829;A
1042;17;Feminino;Caucasiano;Ensino Superior Incompleto;17;10;Não;Muito Alto;Sim;Sim;Não;Sim;3,074237847;B
1043;16;Feminino;Negro;Pós-graduação;3;12;Não;Alto;Sim;Não;Sim;Sim;2,406360192;D
1044;18;Feminino;Outro;Ensino Médio;8;10;Sim;Baixo;Sim;Não;Não;Não;3,267318807;B
1045;18;Masculino;Caucasiano;Ensino Médio;16;27;Não;Baixo;Não;Sim;Não;Não;2,181328975;D
1046;18;Feminino;Caucasiano;Ensino Médio;16;28;Sim;Baixo;Sim;Sim;Sim;Não;2,824026371;C
1047;18;Masculino;Asiático;Graduação;16;3;Não;Muito Alto;Não;Não;Não;Sim;3,984488125;A
1048;17;Masculino;Caucasiano;Graduação;15;28;Não;Alto;Sim;Sim;Não;Não;2,463234713;D
1049;16;Masculino;Asiático;Graduação;19;25;Não;Alto;Sim;Sim;Não;Sim;2,680651071;C
1050;16;Masculino;Asiático;Pós-graduação;7;13;Não;Moderado;Sim;Não;Não;Não;2,242560803;D
1051;17;Masculino;Outro;Ensino Superior Incompleto;14;4;Sim;Moderado;Sim;Não;Não;Não;3,900645262;A
1052;16;Masculino;Caucasiano;Ensino Médio;0;3;Não;Nenhum;Não;Não;Sim;Não;2,203670223;D
1053;17;Feminino;Negro;Ensino Médio;18;0;Não;Muito Alto;Não;Sim;Sim;Sim;4;A
1054;18;Feminino;Caucasiano;Graduação;14;13;Não;Muito Alto;Não;Não;Não;Não;3,695881007;A
1055;17;Masculino;Negro;Graduação;8;6;Não;Alto;Sim;Sim;Não;Não;2,607874155;C
1056;18;Feminino;Caucasiano;Ensino Superior Incompleto;4;9;Não;Nenhum;Sim;Sim;Não;Não;2,098069596;D
1057;18;Feminino;Caucasiano;Graduação;15;26;Não;Baixo;Sim;Não;Não;Não;3,955567012;A
1058;15;Masculino;Negro;Graduação;12;1;Não;Moderado;Não;Não;Sim;Não;3,018669521;B
1059;17;Masculino;Negro;Pós-graduação;15;9;Não;Moderado;Sim;Não;Não;Não;4;A
1060;15;Feminino;Asiático;Ensino Superior Incompleto;10;2;Não;Muito Alto;Sim;Não;Não;Não;3,382542862;B
1061;17;Feminino;Asiático;Graduação;12;20;Sim;Baixo;Sim;Não;Sim;Não;2,893132738;C
1062;17;Feminino;Negro;Ensino Médio;5;7;Não;Moderado;Sim;Não;Não;Não;2,33958179;D
1063;15;Masculino;Caucasiano;Graduação;19;9;Não;Alto;Não;Sim;Não;Sim;4;A
1064;15;Masculino;Asiático;Pós-graduação;16;7;Não;Moderado;Sim;Não;Sim;Não;3,774089009;A
1065;17;Masculino;Negro;Ensino Superior Incompleto;4;13;Sim;Baixo;Sim;Não;Não;Não;3,549909083;A
1066;16;Masculino;Asiático;Graduação;16;17;Sim;Muito Alto;Não;Não;Sim;Sim;4;A
1067;18;Masculino;Outro;Graduação;0;8;Sim;Moderado;Sim;Não;Não;Não;3,205417598;B
1068;15;Masculino;Caucasiano;Nenhum;4;21;Não;Alto;Sim;Sim;Sim;Não;3,824533517;A
1069;18;Feminino;Asiático;Ensino Superior Incompleto;4;8;Não;Baixo;Sim;Não;Não;Não;2,406294523;D
1070;16;Feminino;Caucasiano;Ensino Médio;6;29;Não;Muito Alto;Sim;Não;Não;Sim;2,569291257;C
1071;16;Masculino;Caucasiano;Pós-graduação;15;3;Sim;Baixo;Sim;Sim;Não;Não;4;A
1072;16;Feminino;Negro;Graduação;17;2;Não;Alto;Não;Não;Não;Não;4;A
1073;15;Masculino;Caucasiano;Ensino Médio;5;13;Não;Moderado;Sim;Não;Não;Sim;3,203942986;B
1074;16;Masculino;Asiático;Ensino Médio;1;13;Sim;Baixo;Não;Sim;Não;Não;2,780771656;C
1075;15;Masculino;Caucasiano;Ensino Superior Incompleto;12;20;Não;Nenhum;Sim;Não;Não;Não;2,087332467;D
1076;16;Feminino;Caucasiano;Ensino Médio;9;15;Não;Muito Alto;Não;Não;Sim;Não;2,560680606;C
1077;18;Feminino;Negro;Nenhum;20;4;Não;Baixo;Não;Não;Não;Sim;3,159029317;B
1078;18;Feminino;Asiático;Ensino Superior Incompleto;19;19;Não;Alto;Sim;Não;Não;Não;3,108916564;B
1079;17;Masculino;Outro;Ensino Superior Incompleto;10;28;Não;Alto;Não;Sim;Não;Não;2,148552027;D
1080;18;Feminino;Asiático;Ensino Médio;20;22;Não;Moderado;Não;Sim;Sim;Sim;2,753207635;C
1081;17;Masculino;Negro;Graduação;1;23;Sim;Baixo;Sim;Sim;Não;Não;2,883781191;C
1082;18;Feminino;Caucasiano;Pós-graduação;7;14;Sim;Baixo;Não;Não;Não;Não;2,366694365;D
1083;15;Feminino;Caucasiano;Graduação;18;20;Não;Alto;Não;Sim;Não;Não;3,530065633;A
1084;18;Masculino;Caucasiano;Graduação;19;30;Não;Moderado;Não;Sim;Não;Sim;2,376258392;D
1085;17;Feminino;Negro;Ensino Médio;16;8;Não;Muito Alto;Sim;Não;Não;Não;3,548814101;A
1086;17;Feminino;Negro;Ensino Médio;15;6;Não;Alto;Não;Sim;Sim;Sim;4;A
1087;16;Masculino;Caucasiano;Ensino Médio;9;12;Não;Muito Alto;Sim;Não;Sim;Não;2,602013648;C
1088;15;Feminino;Asiático;Graduação;4;28;Não;Nenhum;Não;Não;Não;Não;3,113923546;B
1089;18;Masculino;Negro;Pós-graduação;13;22;Sim;Alto;Não;Não;Não;Não;3,909218515;A
1090;16;Feminino;Caucasiano;Graduação;18;7;Sim;Baixo;Não;Sim;Não;Não;4;A
1091;18;Feminino;Caucasiano;Pós-graduação;3;11;Não;Moderado;Sim;Não;Não;Não;3,643743158;A
1092;18;Feminino;Asiático;Graduação;19;3;Não;Alto;Sim;Não;Não;Não;4;A
1093;16;Feminino;Asiático;Ensino Superior Incompleto;15;15;Não;Alto;Não;Sim;Não;Não;2,81544776;C
1094;16;Feminino;Asiático;Ensino Superior Incompleto;14;25;Não;Moderado;Não;Não;Não;Não;3,821092332;A
1095;16;Masculino;Caucasiano;Nenhum;8;28;Não;Alto;Sim;Não;Não;Não;2,864242009;C
1096;16;Feminino;Outro;Nenhum;2;28;Sim;Moderado;Sim;Sim;Não;Sim;2,313158156;D
1097;16;Masculino;Caucasiano;Graduação;8;5;Sim;Muito Alto;Não;Não;Sim;Não;3,057716077;B
1098;18;Feminino;Caucasiano;Ensino Superior Incompleto;17;4;Não;Nenhum;Não;Não;Não;Sim;2,731339337;C
1099;16;Masculino;Outro;Ensino Superior Incompleto;3;0;Não;Nenhum;Sim;Sim;Não;Não;3,485258205;B
1100;15;Masculino;Caucasiano;Ensino Superior Incompleto;18;30;Sim;Alto;Sim;Não;Não;Sim;3,90204423;A
1101;17;Feminino;Negro;Ensino Médio;3;13;Sim;Alto;Não;Sim;Não;Não;2,936177489;C
1102;16;Masculino;Caucasiano;Ensino Superior Incompleto;8;28;Não;Alto;Não;Não;Não;Não;2,188488741;D
1103;16;Feminino;Negro;Ensino Superior Incompleto;0;8;Não;Alto;Sim;Sim;Não;Não;2,399131668;D
1104;18;Masculino;Outro;Ensino Superior Incompleto;0;17;Sim;Muito Alto;Não;Não;Não;Não;2,326475561;D
1105;16;Masculino;Caucasiano;Graduação;19;5;Não;Alto;Não;Não;Sim;Não;3,212416613;B
1106;16;Feminino;Negro;Ensino Superior Incompleto;18;14;Não;Alto;Sim;Não;Sim;Não;3,549295859;A
1107;16;Masculino;Caucasiano;Graduação;2;30;Não;Alto;Sim;Não;Não;Não;2,782322785;C
1108;18;Masculino;Negro;Pós-graduação;9;15;Sim;Muito Alto;Sim;Não;Não;Não;3,444214433;B
1109;16;Feminino;Caucasiano;Pós-graduação;11;7;Não;Moderado;Sim;Não;Sim;Não;2,840962227;C
1110;17;Masculino;Caucasiano;Pós-graduação;17;18;Não;Alto;Sim;Sim;Sim;Não;4;A
1111;18;Feminino;Caucasiano;Ensino Médio;13;4;Sim;Alto;Não;Não;Não;Sim;3,50411244;A
1112;17;Masculino;Caucasiano;Nenhum;9;13;Sim;Baixo;Não;Não;Sim;Não;3,465359785;B
1113;18;Masculino;Outro;Ensino Médio;9;6;Sim;Moderado;Não;Não;Não;Sim;3,061367672;B
1114;16;Feminino;Caucasiano;Ensino Médio;17;3;Não;Nenhum;Sim;Não;Sim;Sim;3,999980839;A
1115;17;Masculino;Caucasiano;Pós-graduação;0;29;Não;Baixo;Sim;Não;Não;Não;2;D
1116;18;Masculino;Caucasiano;Graduação;14;27;Não;Muito Alto;Não;Não;Não;Não;3,600999734;A
1117;15;Masculino;Caucasiano;Nenhum;7;20;Não;Baixo;Não;Não;Não;Sim;2,99632819;C
1118;16;Masculino;Asiático;Ensino Médio;2;0;Sim;Alto;Sim;Sim;Não;Não;3,588585901;A
1119;18;Feminino;Outro;Ensino Médio;17;3;Sim;Moderado;Não;Sim;Não;Sim;3,494176866;B
1120;15;Masculino;Caucasiano;Graduação;8;29;Não;Alto;Sim;Não;Não;Não;2,938317346;C
1121;18;Feminino;Asiático;Graduação;15;13;Não;Baixo;Sim;Não;Não;Não;4;A
1122;15;Feminino;Negro;Pós-graduação;20;22;Não;Moderado;Não;Não;Não;Não;2,790530145;C
1123;16;Masculino;Caucasiano;Pós-graduação;14;15;Não;Muito Alto;Não;Sim;Sim;Não;4;A
1124;17;Feminino;Negro;Ensino Médio;4;27;Não;Moderado;Não;Não;Sim;Não;2;D
1125;15;Masculino;Negro;Ensino Médio;12;25;Não;Moderado;Não;Sim;Não;Não;2,726308363;C
1126;18;Feminino;Negro;Ensino Médio;19;6;Não;Moderado;Sim;Não;Não;Não;4;A
1127;16;Masculino;Asiático;Ensino Superior Incompleto;6;9;Sim;Baixo;Não;Não;Não;Não;3,350462135;B
1128;15;Feminino;Caucasiano;Pós-graduação;15;9;Não;Moderado;Sim;Sim;Não;Não;4;A
1129;18;Feminino;Outro;Ensino Superior Incompleto;6;3;Não;Nenhum;Sim;Sim;Sim;Não;4;A
1130;18;Masculino;Asiático;Graduação;15;11;Sim;Moderado;Sim;Não;Não;Sim;4;A
1131;18;Feminino;Caucasiano;Ensino Superior Incompleto;12;5;Não;Muito Alto;Sim;Sim;Não;Sim;4;A
1132;15;Feminino;Negro;Nenhum;16;12;Não;Alto;Não;Sim;Sim;Sim;3,729660233;A
1133;15;Masculino;Caucasiano;Nenhum;8;20;Não;Alto;Não;Não;Não;Não;2,782083346;C
1134;15;Masculino;Outro;Ensino Superior Incompleto;11;0;Sim;Nenhum;Sim;Sim;Sim;Não;3,259184618;B
1135;17;Feminino;Negro;Graduação;12;7;Sim;Muito Alto;Não;Sim;Não;Sim;4;A
1136;15;Feminino;Caucasiano;Ensino Médio;8;27;Sim;Moderado;Não;Não;Não;Não;2,797158127;C
1137;15;Feminino;Caucasiano;Graduação;4;22;Não;Muito Alto;Sim;Sim;Não;Não;3,979049385;A
1138;15;Feminino;Negro;Graduação;6;30;Sim;Baixo;Não;Sim;Sim;Não;2,671150452;C
1139;17;Feminino;Caucasiano;Ensino Superior Incompleto;0;15;Não;Muito Alto;Não;Não;Sim;Sim;2,607968531;C
1140;15;Feminino;Caucasiano;Graduação;3;4;Não;Alto;Sim;Sim;Não;Não;3,65191609;A
1141;18;Masculino;Caucasiano;Ensino Superior Incompleto;3;28;Sim;Nenhum;Não;Sim;Não;Não;2;D
1142;15;Masculino;Caucasiano;Graduação;15;25;Não;Muito Alto;Não;Não;Não;Sim;2,621573045;C
1143;18;Feminino;Caucasiano;Graduação;4;25;Sim;Nenhum;Não;Não;Não;Não;2,877325949;C
1144;18;Feminino;Caucasiano;Pós-graduação;3;6;Sim;Alto;Sim;Sim;Sim;Sim;2,666681352;C
1145;18;Masculino;Caucasiano;Ensino Médio;5;30;Não;Muito Alto;Sim;Sim;Sim;Não;3,310822183;B
1146;17;Masculino;Negro;Ensino Superior Incompleto;2;25;Não;Baixo;Sim;Não;Sim;Sim;2;D
1147;17;Feminino;Negro;Ensino Médio;7;2;Não;Moderado;Não;Não;Não;Não;3,677779178;A
1148;17;Feminino;Caucasiano;Ensino Médio;16;23;Sim;Alto;Não;Não;Não;Não;3,866964121;A
1149;15;Masculino;Caucasiano;Graduação;17;20;Não;Alto;Sim;Não;Não;Não;4;A
1150;18;Masculino;Negro;Pós-graduação;17;1;Sim;Muito Alto;Sim;Não;Não;Não;4;A
1151;17;Masculino;Caucasiano;Ensino Superior Incompleto;11;1;Não;Alto;Sim;Sim;Não;Não;3,494472454;B
1152;17;Masculino;Caucasiano;Ensino Médio;0;19;Não;Moderado;Sim;Sim;Não;Não;3,118328911;B
1153;15;Masculino;Caucasiano;Ensino Médio;11;22;Não;Muito Alto;Sim;Não;Não;Não;2,501459266;C
1154;17;Masculino;Asiático;Ensino Superior Incompleto;10;29;Não;Muito Alto;Não;Sim;Não;Sim;3,689589379;A
1155;15;Feminino;Asiático;Ensino Médio;12;9;Sim;Baixo;Não;Sim;Não;Não;4;A
1156;16;Masculino;Asiático;Ensino Médio;2;19;Não;Nenhum;Sim;Não;Não;Sim;3,07731548;B
1157;17;Feminino;Asiático;Graduação;7;8;Não;Moderado;Não;Sim;Não;Não;2,872658891;C
1158;16;Feminino;Negro;Nenhum;2;17;Não;Muito Alto;Não;Não;Não;Sim;2,11468708;D
1159;15;Masculino;Caucasiano;Ensino Superior Incompleto;16;5;Não;Baixo;Sim;Sim;Sim;Não;3,643211304;A
1160;18;Feminino;Negro;Graduação;12;19;Não;Muito Alto;Não;Não;Não;Não;2,971271233;C
1161;17;Masculino;Caucasiano;Ensino Médio;9;5;Sim;Muito Alto;Não;Não;Não;Sim;3,860382669;A
1162;15;Feminino;Negro;Graduação;16;25;Não;Nenhum;Sim;Não;Não;Sim;2,887722635;C
1163;18;Masculino;Asiático;Graduação;2;24;Não;Moderado;Não;Não;Não;Não;2;D
1164;18;Feminino;Negro;Graduação;12;9;Não;Moderado;Sim;Não;Não;Não;4;A
1165;16;Feminino;Caucasiano;Ensino Superior Incompleto;5;27;Não;Moderado;Não;Não;Não;Sim;3,369333681;B
1166;15;Masculino;Caucasiano;Ensino Médio;13;24;Não;Moderado;Sim;Não;Sim;Não;3,806290475;A
1167;18;Masculino;Negro;Graduação;9;8;Não;Alto;Não;Não;Sim;Não;2,930714044;C
1168;17;Feminino;Negro;Graduação;19;8;Não;Alto;Sim;Não;Não;Sim;3,916984979;A
1169;17;Feminino;Asiático;Ensino Médio;15;2;Não;Muito Alto;Não;Sim;Não;Sim;3,432931993;B
1170;16;Masculino;Caucasiano;Ensino Médio;17;11;Não;Moderado;Sim;Não;Não;Não;4;A
1171;18;Feminino;Asiático;Nenhum;12;10;Sim;Moderado;Sim;Não;Não;Não;4;A
1172;15;Masculino;Negro;Nenhum;9;13;Não;Muito Alto;Não;Sim;Não;Não;3,623071859;A
1173;17;Feminino;Asiático;Ensino Superior Incompleto;5;24;Não;Moderado;Não;Não;Não;Não;2,822219595;C
1174;18;Masculino;Negro;Nenhum;9;18;Não;Moderado;Sim;Não;Não;Não;3,589957726;A
1175;18;Feminino;Negro;Ensino Médio;4;9;Sim;Alto;Não;Não;Sim;Não;2,557115194;C
1176;16;Masculino;Negro;Graduação;5;18;Sim;Muito Alto;Sim;Sim;Não;Sim;2,75531401;C
1177;17;Masculino;Asiático;Ensino Médio;6;4;Não;Moderado;Não;Sim;Não;Sim;3,007357522;B
1178;17;Masculino;Outro;Graduação;10;21;Não;Moderado;Sim;Não;Não;Não;3,185011468;B
1179;15;Masculino;Caucasiano;Graduação;15;8;Sim;Muito Alto;Sim;Não;Sim;Sim;4;A
1180;17;Feminino;Caucasiano;Ensino Médio;11;0;Não;Nenhum;Não;Não;Não;Não;4;A
1181;15;Masculino;Outro;Graduação;11;14;Sim;Moderado;Não;Não;Não;Sim;2,924090203;C
1182;17;Feminino;Negro;Graduação;19;23;Não;Alto;Não;Não;Não;Não;3,025969308;B
1183;16;Masculino;Negro;Ensino Superior Incompleto;4;29;Não;Nenhum;Sim;Sim;Sim;Não;2,251296231;D
1184;17;Masculino;Caucasiano;Ensino Médio;15;29;Não;Alto;Sim;Não;Sim;Não;4;A
1185;15;Masculino;Caucasiano;Ensino Superior Incompleto;5;3;Não;Nenhum;Sim;Sim;Não;Não;2,514907612;C
1186;15;Masculino;Asiático;Pós-graduação;8;25;Sim;Muito Alto;Não;Sim;Não;Sim;4;A
1187;16;Masculino;Asiático;Graduação;4;6;Sim;Muito Alto;Não;Não;Não;Não;2,9008382;C
1188;17;Masculino;Caucasiano;Ensino Médio;20;5;Não;Nenhum;Sim;Sim;Sim;Não;4;A
1189;17;Feminino;Caucasiano;Graduação;15;14;Não;Nenhum;Sim;Sim;Sim;Não;4;A
1190;16;Masculino;Asiático;Ensino Superior Incompleto;17;5;Sim;Alto;Não;Sim;Não;Sim;4;A
1191;17;Feminino;Caucasiano;Ensino Superior Incompleto;18;6;Não;Moderado;Sim;Não;Não;Não;4;A
1192;17;Feminino;Asiático;Graduação;11;19;Não;Alto;Não;Sim;Sim;Não;2,716272353;C
1193;15;Masculino;Caucasiano;Ensino Superior Incompleto;1;21;Não;Moderado;Sim;Sim;Não;Não;3,227403424;B
1194;17;Masculino;Negro;Graduação;9;2;Não;Baixo;Não;Sim;Não;Não;3,854143221;A
1195;17;Feminino;Outro;Graduação;11;20;Sim;Moderado;Sim;Não;Não;Não;4;A
1196;16;Feminino;Negro;Graduação;13;28;Não;Baixo;Sim;Sim;Não;Não;2,940626265;C
1197;16;Feminino;Caucasiano;Ensino Médio;17;28;Não;Moderado;Sim;Sim;Não;Sim;3,08690691;B
1198;18;Masculino;Negro;Graduação;18;29;Sim;Alto;Sim;Não;Sim;Não;3,93244528;A
1199;15;Feminino;Caucasiano;Pós-graduação;5;30;Não;Alto;Não;Sim;Sim;Não;2,189687306;D
1200;17;Feminino;Caucasiano;Ensino Médio;4;12;Não;Alto;Sim;Não;Não;Sim;3,83010983;A
1201;17;Feminino;Outro;Ensino Superior Incompleto;15;1;Sim;Moderado;Sim;Não;Sim;Sim;3,641959094;A
1202;18;Feminino;Asiático;Ensino Médio;13;2;Não;Moderado;Não;Não;Não;Não;2,876426844;C
1203;17;Masculino;Negro;Graduação;12;12;Não;Baixo;Sim;Não;Não;Sim;3,492957131;B
1204;15;Masculino;Caucasiano;Graduação;20;8;Não;Moderado;Sim;Sim;Não;Sim;4;A
1205;18;Feminino;Caucasiano;Ensino Médio;1;21;Sim;Alto;Não;Não;Sim;Não;3,200938539;B
1206;15;Feminino;Caucasiano;Pós-graduação;1;18;Não;Alto;Sim;Não;Não;Não;3,838584463;A
1207;18;Masculino;Negro;Ensino Médio;11;17;Não;Moderado;Sim;Não;Sim;Não;2,571457541;C
1208;18;Masculino;Asiático;Graduação;0;4;Não;Alto;Não;Não;Não;Sim;2,869132746;C
1209;16;Masculino;Negro;Ensino Superior Incompleto;18;9;Sim;Baixo;Sim;Sim;Não;Não;3,639886013;A
1210;15;Masculino;Asiático;Ensino Médio;15;13;Não;Muito Alto;Não;Não;Não;Não;2,876299132;C
1211;17;Feminino;Caucasiano;Ensino Médio;6;20;Sim;Muito Alto;Não;Não;Sim;Não;2,286009308;D
1212;17;Feminino;Caucasiano;Ensino Médio;20;16;Não;Moderado;Sim;Sim;Não;Não;2,828890182;C
1213;15;Masculino;Caucasiano;Graduação;6;2;Não;Moderado;Sim;Não;Sim;Não;3,307758778;B
1214;17;Masculino;Caucasiano;Ensino Superior Incompleto;15;6;Sim;Alto;Sim;Sim;Não;Sim;4;A
1215;17;Masculino;Caucasiano;Ensino Médio;5;8;Não;Moderado;Sim;Não;Não;Não;3,679287062;A
1216;15;Masculino;Outro;Ensino Médio;17;4;Não;Muito Alto;Sim;Não;Não;Sim;4;A
1217;18;Feminino;Caucasiano;Nenhum;0;3;Não;Alto;Sim;Não;Sim;Sim;2,788033962;C
1218;15;Feminino;Outro;Graduação;0;2;Não;Alto;Sim;Não;Não;Não;2,321140076;D
1219;18;Feminino;Caucasiano;Graduação;13;25;Não;Moderado;Sim;Não;Não;Sim;2,50075961;C
1220;17;Masculino;Outro;Nenhum;5;12;Sim;Nenhum;Sim;Não;Não;Não;2,814378087;C
1221;17;Feminino;Negro;Ensino Superior Incompleto;5;8;Sim;Baixo;Sim;Sim;Não;Sim;3,000914663;B
1222;17;Feminino;Outro;Nenhum;3;29;Não;Moderado;Não;Não;Não;Sim;2;D
1223;16;Feminino;Caucasiano;Pós-graduação;11;22;Sim;Baixo;Sim;Não;Sim;Sim;4;A
1224;18;Masculino;Asiático;Pós-graduação;17;27;Não;Muito Alto;Sim;Sim;Sim;Não;3,384760464;B
1225;16;Masculino;Outro;Graduação;9;6;Não;Moderado;Não;Não;Não;Sim;3,005664015;B
1226;16;Masculino;Caucasiano;Pós-graduação;2;29;Não;Muito Alto;Sim;Sim;Sim;Não;2,494130384;D
1227;15;Masculino;Caucasiano;Graduação;2;28;Não;Muito Alto;Sim;Sim;Não;Não;2,268826566;D
1228;16;Masculino;Caucasiano;Graduação;7;7;Não;Muito Alto;Não;Não;Não;Sim;3,244185959;B
1229;15;Masculino;Outro;Ensino Superior Incompleto;0;9;Sim;Baixo;Sim;Sim;Não;Sim;2,231750835;D
1230;15;Feminino;Negro;Ensino Médio;17;0;Sim;Moderado;Não;Sim;Não;Não;3,151694035;B
1231;16;Feminino;Negro;Ensino Médio;14;26;Não;Moderado;Sim;Sim;Sim;Não;3,153248769;B
1232;18;Masculino;Caucasiano;Ensino Médio;20;19;Não;Muito Alto;Não;Sim;Não;Não;3,808284254;A
1233;18;Masculino;Caucasiano;Graduação;19;28;Não;Muito Alto;Não;Sim;Não;Não;2,823923475;C
1234;18;Feminino;Asiático;Ensino Médio;16;28;Sim;Baixo;Não;Sim;Não;Sim;3,825359271;A
1235;18;Feminino;Caucasiano;Ensino Médio;10;20;Não;Moderado;Sim;Sim;Não;Não;2,533611193;C
1236;18;Feminino;Negro;Ensino Superior Incompleto;12;20;Não;Moderado;Não;Sim;Não;Não;3,740379128;A
1237;16;Feminino;Outro;Ensino Médio;19;0;Sim;Moderado;Sim;Sim;Não;Não;3,680541054;A
1238;16;Feminino;Caucasiano;Ensino Superior Incompleto;9;18;Não;Muito Alto;Não;Não;Não;Não;2,872526684;C
1239;17;Feminino;Negro;Pós-graduação;12;1;Não;Muito Alto;Sim;Sim;Não;Não;3,559773522;A
1240;18;Masculino;Caucasiano;Graduação;16;11;Não;Alto;Sim;Sim;Sim;Não;3,279177258;B
1241;16;Masculino;Negro;Graduação;20;22;Não;Alto;Sim;Não;Sim;Não;4;A
1242;17;Masculino;Caucasiano;Ensino Superior Incompleto;0;12;Não;Moderado;Não;Não;Não;Não;2,366922727;D
